20260711_speak_ru_Yakovleva,,,,,,,,,,,,,,,,,
Concept,Language,Construction,Glosses,Morphosyntactic class, Structure,LEX Synt,Syntactic coding,Semantic roles,Xform, Xrole,Yform, Yrole,Zform,Zrole,Collocations,Corpus example,Translation
speak/say,Russian,честно говоря,"честно.ADV говоря.GER.IMPFV
",,LV LEXADV,,,,,,,,,,"честно говоря, 6,83 НКРЯ","SIMBA: Честно говоря, мне безразлично, кто стал прототипами персонажей. [Форум: Похороните меня за плинтусом. Фильм (2009-2011)]
",
speak/say,Russian,откровенно говоря,откровенно.ADV говоря.GER.IMPFV,,LV LEXADV,,,,,,,,,,"откровенно говоря, 2,49 НКРЯ","Но, откровенно говоря, она мне не очень и нужна. [Андрей Митьков. «Мы все знали и без этой записки». Год назад спортивные чиновники знали, что у наших спортсменов будут искать допинг // «Известия», 2003.02.07]
",
speak/say,Russian,собственно говоря,собственно.ADV говоря.GER.IMPFV,,LV LEXADV,,,,,,,,,,"собственно говоря, 8,86 НКРЯ","Собственно говоря, частная инициатива в этом деле существовала испокон веков. [Татьяна Бирюкова. Кто начал борьбу с беспризорностью? // «Вечерняя Москва», 2002.02.07]
",
speak/say,Russian,прямо скажем,прямо.ADV скажем.V.IND.PFV.FUT.1PL,,LV LEXADV,,,,,,,,,,"прямо скажем, 1,71 НКРЯ","Она, конечно, непредсказуемая… со странностями, прямо скажем… [Вера Белоусова. Второй выстрел (2000)]
",
speak/say,Russian,говоря (чем),говоря.GER.IMPFV чем.PRON.INS.SG,,LV LEXN-case,Obl.com,,,,,Ill,инструмент,,,говоря (чем) - тяжело посчитать ipm,"Проверку на вшивость, говоря простым и доступным языком». [Марина Зосимкина. Ты проснешься. Книга первая (2015)]
",
speak/say,Russian,(что-то) (много/немало) говорит о,что-то.PRON.NOM.SG много.ADV говорит.V.IND.IMPFV.PRES.3SG о.PREP,,LV prep LEXN,Obj,,,Nom,Agt,,Th,,,"(что-то) (много/немало) говорит о, 27,43 НКРЯ","Ведь это много говорит о человеке — теперь. [Марта Кетро. Такой же толстый, как я (2009)]
",
speak/say,Russian,говорит в пользу чего-то,говорит.V.IND.IMPFV.PRES.3SG в.PREP пользу.N.ACC.SG чего-то.PRON.GEN.SG,,LV prep LEXN,Obl.car,,,Nom,Agt,Gen,Th,,,"говорит в пользу чего-то,  0,37 НКРЯ","Что говорит в пользу мирной жизни и поступательного развития. [Дмитрий Губин. Гибка, как гусеница, гибридная Россия (02.01.2017) // Росбалт, 2017]
",
speak/say,Russian,говоря о(/об),говоря.GER.IMPFV о.PREP,,LV prep LEXN,Obj,,,Nom,Agt,,Th,,,"говоря о(/об), 15,43 НКРЯ","Говоря о роли ЛПХ в адаптации населения г. Таганрога к изменяющимся экономическим условиям, необходимо учитывать, что различные домохозяйства располагали и разными для этого возможностями. [Личные подсобные хозяйства населения: состояние и перспективы // «Вопросы статистики», 2004]
",
speak/say,Russian,скажем (так),скажем.V.IND.PFV.FUT.1PL так.ADV,,LV,,,,,,,,,,"скажем (так), 52,67 НКРЯ","MC LOUD: На это было интересно посмотреть. Скажем так, очень необычно. Также, был удивлен, когда узнал, что режиссером этой картины была женщина — Татьяна Лиознова. [Форум: 17 мгновений весны (2005-2010)]
",
